incident_id,agent,original_decision,human_label,run_1_decision,run_1_match,run_2_decision,run_2_match,run_3_decision,run_3_match,run_4_decision,run_4_match,run_5_decision,run_5_match,run_6_decision,run_6_match,run_7_decision,run_7_match,inter_run_consistent,unique_rerun_decisions,image_count
IN26022018592806222677,cx,Can't Say,Can't Say,Can't Say,True,Can't Say,True,Can't Say,True,Can't Say,True,Can't Say,True,Can't Say,True,Can't Say,True,True,Can't Say,4
IN26022018592806222677,obd,No Issue,No Issue,No Issue,True,No Issue,True,No Issue,True,No Issue,True,No Issue,True,No Issue,True,No Issue,True,True,No Issue,2
IN26022117274308785540,cx,Major Damage,Major Damage,Minor Damage,False,Minor Damage,False,Minor Damage,False,Minor Damage,False,Minor Damage,False,Minor Damage,False,Minor Damage,False,True,Minor Damage,4
IN26022117274308785540,obd,No Issue,No Issue,Can't Say,False,Can't Say,False,Can't Say,False,Can't Say,False,Can't Say,False,Can't Say,False,Can't Say,False,True,Can't Say,2
IN26022121343655406891,cx,Minor Damage,No Issue,Minor Damage,True,Minor Damage,True,Minor Damage,True,Minor Damage,True,Minor Damage,True,Minor Damage,True,Minor Damage,True,True,Minor Damage,4
IN26022121343655406891,obd,Misshipment,Can't Say,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,True,Misshipment,2
IN26022220493088929302,cx,Misshipment,Misshipment,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,True,Misshipment,4
IN26022220493088929302,obd,No Issue,No Issue,No Issue,True,No Issue,True,No Issue,True,No Issue,True,No Issue,True,No Issue,True,No Issue,True,True,No Issue,2
IN26022317023900147949,cx,Misshipment,Misshipment,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,True,Misshipment,4
IN26022317023900147949,obd,Can't Say,Can't Say,No Issue,False,No Issue,False,No Issue,False,No Issue,False,No Issue,False,No Issue,False,No Issue,False,True,No Issue,2
IN26022319520991740079,cx,Misshipment,Misshipment,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,True,Misshipment,3
IN26022319520991740079,obd,Can't Say,Can't Say,Misshipment,False,Misshipment,False,Misshipment,False,Misshipment,False,Misshipment,False,Misshipment,False,Misshipment,False,True,Misshipment,2
IN26022320320446138863,cx,Misshipment,Misshipment,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,True,Misshipment,3
IN26022320320446138863,obd,No Issue,Misshipment,No Issue,True,No Issue,True,No Issue,True,No Issue,True,No Issue,True,No Issue,True,No Issue,True,True,No Issue,2
IN26022411210821512712,cx,Misshipment,No Issue,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,True,Misshipment,4
IN26022411210821512712,obd,Can't Say,Can't Say,Can't Say,True,Can't Say,True,Can't Say,True,Can't Say,True,Can't Say,True,Can't Say,True,Can't Say,True,True,Can't Say,2
IN26022411382264613222,cx,Can't Say,Misshipment,Can't Say,True,Can't Say,True,Can't Say,True,Can't Say,True,Can't Say,True,Can't Say,True,Can't Say,True,True,Can't Say,3
IN26022411382264613222,obd,Misshipment,Misshipment,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,Misshipment,True,True,Misshipment,2
IN26022411595309033806,cx,Multiple Issue,Multiple Issue,Multiple Issue,True,Multiple Issue,True,Multiple Issue,True,Multiple Issue,True,Multiple Issue,True,Multiple Issue,True,Multiple Issue,True,True,Multiple Issue,4
IN26022411595309033806,obd,No Issue,Misshipment,No Issue,True,No Issue,True,No Issue,True,No Issue,True,No Issue,True,No Issue,True,No Issue,True,True,No Issue,2
